x,Crime,Graffiti Requests
1,5006,3228
2,4305,2091
3,4685,2283
4,2158,2127
5,1852,2514
6,7417,3261
7,5139,2485
8,11123,2392
9,350,53
10,1350,330
11,1288,550
12,592,168
13,1052,562
14,3005,3820
15,4285,3580
16,4116,6401
17,2089,777
18,845,505
19,6640,8523
20,1969,2223
21,3328,5350
22,7205,8883
23,10753,2192
24,9819,9463
25,22294,1696
26,6198,248
27,6157,406
28,9323,2762
29,9790,960
30,5791,14515
31,3316,9249
32,7419,1657
33,1735,503
34,1420,537
35,2400,39
36,781,34
37,1162,39
38,4550,100
39,1920,61
40,3894,49
41,2074,349
42,5520,107
43,11864,246
44,7140,94
45,1815,52
46,6549,1116
47,446,4
48,2179,249
49,9564,266
50,1083,35
51,2444,886
52,1771,3495
53,5822,176
54,1395,14
55,801,510
56,2438,1901
57,1206,3575
58,3595,7816
59,1414,3427
60,2286,1952
61,7518,2980
62,1433,2966
63,3567,5575
64,1325,682
65,2631,2896
66,9816,2806
67,10587,355
68,8990,308
69,8731,192
70,2961,949
71,10001,211
72,1212,96
73,3940,55
74,664,24
75,2766,52
76,1926,69
77,3242,1836
