x,Crime,Streetlight Requests
1,781,314
2,862,682
3,787,264
4,471,323
5,441,319
6,1347,603
7,1219,458
8,1386,302
9,63,176
10,252,493
11,307,414
12,89,272
13,211,183
14,685,348
15,1140,868
16,1032,574
17,453,621
18,139,144
19,1358,806
20,500,249
21,689,371
22,1653,649
23,2403,658
24,2494,843
25,4561,1594
26,1490,363
27,1442,345
28,1887,677
29,1928,577
30,1327,678
31,805,374
32,626,434
33,402,89
34,386,133
35,604,125
36,155,53
37,234,66
38,943,225
39,375,101
40,782,127
41,408,187
42,900,325
43,2044,825
44,1447,1037
45,366,427
46,1140,703
47,97,116
48,416,552
49,1861,1349
50,207,167
51,444,428
52,399,462
53,1157,987
54,240,87
55,160,326
56,452,883
57,286,207
58,885,444
59,288,228
60,529,440
61,1403,663
62,266,384
63,664,426
64,221,850
65,365,643
66,1467,973
67,1944,830
68,1786,658
69,1638,746
70,583,993
71,1948,1291
72,208,693
73,861,1035
74,98,410
75,484,627
77,429,355
