x,Crime,Graffiti Requests
1,4294,1956
2,3717,3120
3,4173,1588
4,2128,2756
5,1635,2660
6,6710,4179
7,4338,2333
8,10017,2514
9,291,32
10,1118,267
11,1325,514
12,437,196
13,845,901
14,2603,3646
15,3861,3812
16,3349,5156
17,1783,735
18,623,282
19,5531,6627
20,1844,2482
21,2632,6271
22,5750,9928
23,9932,2290
24,7996,10466
25,19777,866
26,6570,357
27,5963,545
28,8208,3329
29,9512,911
30,4889,10859
31,2961,7145
32,7614,3124
33,1771,658
34,1260,676
35,2488,129
36,698,26
37,1064,89
38,3817,282
39,1482,101
40,3282,161
41,1631,223
42,4513,220
43,10360,364
44,6961,168
45,1502,55
46,5645,816
47,454,21
48,1584,171
49,7810,303
50,1005,82
51,2132,468
52,1393,1414
53,5048,245
54,1399,10
55,702,280
56,2009,2379
57,1085,4315
58,2809,8180
59,1263,4876
60,1863,4028
61,5776,2697
62,1238,1974
63,2708,5768
64,1102,585
65,2193,1709
66,7198,2931
67,8831,477
68,7823,474
69,7510,274
70,2649,1760
71,8330,233
72,992,74
73,3617,59
74,578,48
75,2336,47
76,2118,78
77,2647,1872
