x,Crime,Streetlight Requests
1,948,314
2,928,874
3,1049,257
4,524,358
5,454,386
6,1685,632
7,1266,517
8,1895,442
9,63,254
10,269,841
11,347,504
12,143,431
13,211,299
14,727,532
15,1043,1226
16,1138,882
17,519,917
18,213,227
19,1584,1089
20,572,244
21,852,579
22,1982,958
23,2865,1335
24,2963,1188
25,4815,2778
26,1635,487
27,1345,498
28,2507,611
29,2139,662
30,1470,841
31,1023,515
32,634,307
33,428,165
34,475,179
35,635,139
36,202,48
37,252,94
38,997,182
39,443,96
40,830,172
41,462,168
42,1147,404
43,2227,900
44,1484,980
45,394,459
46,1344,907
47,89,98
48,489,635
49,2092,1508
50,248,266
51,448,597
52,444,688
53,1376,1304
54,230,69
55,140,379
56,533,996
57,264,223
58,870,689
59,343,200
60,635,470
61,1730,763
62,295,362
63,891,504
64,244,753
65,401,617
66,1827,1085
67,2114,960
68,2011,642
69,2090,798
70,518,1216
71,2199,1622
72,235,766
73,961,1202
74,118,489
75,536,896
76,123,45
77,553,406
