x,Crime,Streetlight Requests
1,1037,573
2,1089,1524
3,975,748
4,538,819
5,497,893
6,1753,934
7,1528,841
8,1862,361
9,80,567
10,274,1993
11,296,1023
12,113,711
13,283,367
14,815,952
15,1133,2516
16,1250,1292
17,525,2140
18,240,558
19,1688,1860
20,547,396
21,959,1026
22,2203,1668
23,2868,2039
24,3310,1691
25,5251,3709
26,1517,588
27,1524,815
28,2780,880
29,2154,1174
30,1801,1779
31,1003,745
32,801,285
33,413,112
34,396,424
35,631,202
36,195,77
37,300,149
38,1352,484
39,557,158
40,969,225
41,605,266
42,1341,519
43,2534,1405
44,1669,1807
45,419,719
46,1373,1588
47,105,169
48,572,1410
49,2513,2883
50,248,380
51,502,939
52,453,1419
53,1550,1540
54,298,64
55,213,664
56,594,2256
57,340,600
58,1284,1165
59,399,472
60,601,751
61,2115,1197
62,298,842
63,1047,972
64,253,1846
65,510,1342
66,2301,1514
67,2358,1797
68,2127,909
69,2181,1795
70,625,1844
71,2538,2379
72,247,907
73,1008,1822
74,138,739
75,634,1206
76,101,142
77,580,651
