x,Crime,Graffiti Requests
1,3684,1656
2,3316,3352
3,3680,1772
4,1812,3524
5,1459,2797
6,5566,4356
7,3949,2197
8,8836,1831
9,235,30
10,1154,125
11,1205,744
12,446,234
13,818,883
14,2257,4029
15,3237,3011
16,2688,4617
17,1522,753
18,514,323
19,4797,6235
20,1736,1802
21,2291,4820
22,4955,9314
23,8836,2096
24,7093,9953
25,18173,803
26,5975,144
27,5404,310
28,7616,2828
29,8299,837
30,4562,9220
31,2589,7416
32,7120,2365
33,1733,523
34,1203,575
35,2277,188
36,626,11
37,915,35
38,3327,111
39,1374,61
40,2825,61
41,1374,127
42,3968,105
43,9034,297
44,6111,76
45,1375,46
46,5060,641
47,390,17
48,1558,116
49,7012,245
50,1095,53
51,2213,441
52,1273,1064
53,4257,167
54,1318,9
55,615,105
56,1832,1604
57,922,3275
58,2811,7560
59,1047,3799
60,1772,2422
61,5001,2661
62,990,2037
63,2534,5555
64,976,349
65,2020,1491
66,6316,2887
67,7366,299
68,6755,189
69,6515,98
70,2423,952
71,7728,170
72,868,90
73,3011,87
74,621,50
75,2009,52
76,1950,36
77,2242,1430
